file,sheet,name,size,pack,retail_raw,retail_num,whole_raw,whole_num,cost_case_raw,cost_unit_raw,cost_unit_num,date
ต้นทุนของกิน,แฟ้บ,โอโม พิเศษ  25 บาท,450 ก.,1*24,25,25.0,,,509,.,,19-9-59
ต้นทุนของกิน,แฟ้บ,โอโม พิเศษ  40 บาท,650 ก.,1*12,40,40.0,,,ลัง 417.87,34.82,34.82,13-11-67
ต้นทุนของกิน,แฟ้บ,โอโม พิเศษ  40 บาท,1000 ก.,1*8,57,57.0,,,415.71,51.96,51.96,22-2-55
ต้นทุนของกิน,แฟ้บ,โอโม พิเศษ  40 บาท,3000ก.,1*4,155,155.0,,,489.19,122.3,122.3,14-5-55
ต้นทุนของกิน,แฟ้บ,โอโมซันชาย  40 บาท,850 ก.,1*12,40,40.0,,,ลัง 417.87,34.82,34.82,28-2-68
ต้นทุนของกิน,แฟ้บ,โอโมซันชาย  40 บาท,1000 ก.,1*8,57,57.0,,,415.71,51.96,51.96,22-2-55
ต้นทุนของกิน,แฟ้บ,โอโมซันชาย  40 บาท,3000ก.,1*4,155,155.0,,,489.19,122.3,122.3,14-5-55
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซล,800 ก.,1*12,79,79.0,,,820.3,68.36,68.36,25-2-62
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซล,2000ก.,1*6,137,137.0,,,747.59,124.59,124.59,25-2-62
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซลคอมฟอร์ท,780 ก.,1*12,79,79.0,,,820.3,68.36,68.36,25-2-62
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซลคอมฟอร์ท,1900ก.,1*6,98,98.0,110,110.0,747.59,124.59,124.59,25-2-62
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซลน้ำ,ข. 525มล.,1*12,57,57.0,,,568.34,47.36,47.36,29-10-54
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซลลิควิด,ข. 1050มล.,1*12,94,94.0,,,,82.4,82.4,14-10-54
ต้นทุนของกิน,แฟ้บ,บรีสเอกเซลลิควิด,ซอง 580มล.,2ซอง*1*12,110,110.0,,,520,87,87.0,27-4-66
ต้นทุนของกิน,แฟ้บ,ปรับผ้านุ่มคอมฟอร์ทอโรมา,350มล.,1*24,45,45.0,,,1122,26.12,26.12,16-9-55
ต้นทุนของกิน,แฟ้บ,ปรับผ้านุ่มคอมฟอร์ท,600มล.,1*24,16,16.0,แพค 43,43.0,ลัง299.01,12.45,12.45,25-2-62
ต้นทุนของกิน,แฟ้บ,ปรับผ้านุ่มคอมฟอร์ท,600มล.,1*24,16,16.0,แพค 43,43.0,ลัง299.01,12.45,12.45,25-2-62
ต้นทุนของกิน,แฟ้บ,คอมฟอร์ทอัลตัราน้ำเดียว,24 มล.,1*288,โหล 90,90.0,,,,6.83,6.83,22-2-54
ต้นทุนของกิน,แฟ้บ,คอมฟอร์ทอัลตัราน้ำเดียว,170มล,1*48,27,27.0,,,1183.86,24.66,24.66,15-7-54
ต้นทุนของกิน,แฟ้บ,คอมฟอร์ทอัลตัราน้ำเดียว,350มล.,1*24,45,45.0,,,,38.75,38.75,13.9-54
ต้นทุนของกิน,แฟ้บ,ซันไลต์เทอร์โบ       ขวด,170มล.,1*48,12,12.0,120,120.0,115.08,9.59,9.59,7-2-55
ต้นทุนของกิน,แฟ้บ,ซันไลต์                      ขวด,485มล.,1*24,35,35.0,,,710.96,29,29.0,25-2-62
ต้นทุนของกิน,แฟ้บ,ซันไลต์              ขวดหัวปั้ม,750 มล,1*18,62,62.0,,,1008,56,56.0,25-2-62
ต้นทุนของกิน,แฟ้บ,ซันไลต์                แกลลอน,3200มล.,1*4,170,170.0,,,527.55,131.88,131.88,13-11-67
ต้นทุนของกิน,แฟ้บ,ซันไลต์เทอร์โบ  27.-  ซอง,550มล,1*24,25,25.0,แพค 70,70.0,ลัง 502.64,ซอง20.94,20.94,20-5-69
